2022-05-18 07:36:05,190 - INFO - Municipio: 'Alatoz'
2022-05-18 07:36:05,192 - INFO - Reanuda el procesado de '02002'
2022-05-18 07:36:05,627 - INFO - Descargando 'current_address.osm'
2022-05-18 07:36:06,231 - INFO - Leído 'current_address.osm': 4 nodos, 0 vías, 0 relaciones
2022-05-18 07:36:06,996 - INFO - Generado '1888020XJ4218N.osm.gz': 29 nodos, 4 vías, 0 relaciones
2022-05-18 07:36:07,011 - INFO - Generado '1888402XJ4218N.osm.gz': 131 nodos, 39 vías, 0 relaciones
2022-05-18 07:36:07,013 - INFO - Generado '1888417XJ4218N.osm.gz': 5 nodos, 1 vías, 0 relaciones
2022-05-18 07:36:07,056 - INFO - Generado '1889038XJ4218N.osm.gz': 365 nodos, 112 vías, 0 relaciones
2022-05-18 07:36:07,058 - INFO - Generado '1890701XJ4219S.osm.gz': 17 nodos, 2 vías, 0 relaciones
2022-05-18 07:36:07,067 - INFO - Generado '1890715XJ4219S.osm.gz': 80 nodos, 23 vías, 0 relaciones
2022-05-18 07:36:07,073 - INFO - Generado '1988402XJ4218N.osm.gz': 56 nodos, 15 vías, 0 relaciones
2022-05-18 07:36:07,075 - INFO - Generado '1988801XJ4218N.osm.gz': 7 nodos, 1 vías, 0 relaciones
2022-05-18 07:36:07,077 - INFO - Generado '1989501XJ4218N.osm.gz': 20 nodos, 7 vías, 0 relaciones
2022-05-18 07:36:07,088 - INFO - Generado '1989508XJ4218N.osm.gz': 79 nodos, 26 vías, 2 relaciones
2022-05-18 07:36:07,102 - INFO - Generado '1989514XJ4218N.osm.gz': 121 nodos, 40 vías, 1 relaciones
2022-05-18 07:36:07,152 - INFO - Generado '1990040XJ4219S.osm.gz': 414 nodos, 123 vías, 1 relaciones
2022-05-18 07:36:07,159 - INFO - Generado '1990046XJ4219S.osm.gz': 55 nodos, 19 vías, 0 relaciones
2022-05-18 07:36:07,162 - INFO - Generado '1990801XJ4219S.osm.gz': 15 nodos, 5 vías, 0 relaciones
2022-05-18 07:36:07,167 - INFO - Generado '1991003XJ4219S.osm.gz': 44 nodos, 12 vías, 0 relaciones
2022-05-18 07:36:07,170 - INFO - Generado '1991007XJ4219S.osm.gz': 19 nodos, 5 vías, 0 relaciones
2022-05-18 07:36:07,173 - INFO - Generado '1992801XJ4219S.osm.gz': 25 nodos, 7 vías, 0 relaciones
2022-05-18 07:36:07,175 - INFO - Generado '2087201XJ4228N.osm.gz': 5 nodos, 1 vías, 0 relaciones
2022-05-18 07:36:07,204 - INFO - Generado '2088014XJ4228N.osm.gz': 247 nodos, 72 vías, 0 relaciones
2022-05-18 07:36:07,208 - INFO - Generado '2088015XJ4228N.osm.gz': 34 nodos, 7 vías, 0 relaciones
2022-05-18 07:36:07,216 - INFO - Generado '2089008XJ4228N.osm.gz': 68 nodos, 16 vías, 0 relaciones
2022-05-18 07:36:07,243 - INFO - Generado '2089026XJ4228N.osm.gz': 220 nodos, 65 vías, 1 relaciones
2022-05-18 07:36:07,248 - INFO - Generado '2089037XJ4228N.osm.gz': 41 nodos, 13 vías, 0 relaciones
2022-05-18 07:36:07,270 - INFO - Generado '2089061XJ4228N.osm.gz': 197 nodos, 53 vías, 0 relaciones
2022-05-18 07:36:07,271 - INFO - Generado '2089069XJ4228N.osm.gz': 4 nodos, 1 vías, 0 relaciones
2022-05-18 07:36:07,277 - INFO - Generado '2089074XJ4228N.osm.gz': 58 nodos, 11 vías, 0 relaciones
2022-05-18 07:36:07,282 - INFO - Generado '2090402XJ4229S.osm.gz': 41 nodos, 11 vías, 0 relaciones
2022-05-18 07:36:07,289 - INFO - Generado '2090404XJ4229S.osm.gz': 55 nodos, 19 vías, 0 relaciones
2022-05-18 07:36:07,291 - INFO - Generado '2090410XJ4229S.osm.gz': 9 nodos, 2 vías, 0 relaciones
2022-05-18 07:36:07,293 - INFO - Generado '2186201XJ4228N.osm.gz': 10 nodos, 4 vías, 0 relaciones
2022-05-18 07:36:07,305 - INFO - Generado '2187402XJ4228N.osm.gz': 98 nodos, 29 vías, 0 relaciones
2022-05-18 07:36:07,307 - INFO - Generado '2187417XJ4228N.osm.gz': 21 nodos, 2 vías, 0 relaciones
2022-05-18 07:36:07,322 - INFO - Generado '2188002XJ4228N.osm.gz': 125 nodos, 38 vías, 0 relaciones
2022-05-18 07:36:07,329 - INFO - Generado '2188006XJ4228N.osm.gz': 67 nodos, 18 vías, 0 relaciones
2022-05-18 07:36:07,345 - INFO - Generado '2188309XJ4228N.osm.gz': 110 nodos, 34 vías, 1 relaciones
